0.066,0.57012,1.0469,0.41254,1.8223,-0.0099644,-2.8471,0.91681,0.90995
0.067,0.57195,1.0469,0.40968,1.8386,-0.010254,-2.8712,0.90205,0.89502
0.068,0.5738,1.0469,0.4068,1.8547,-0.010555,-2.8949,0.88724,0.88004
0.069,0.57566,1.0469,0.40389,1.8705,-0.010867,-2.9183,0.87239,0.865
0.07,0.57754,1.0469,0.40096,1.8861,-0.011191,-2.9414,0.85748,0.8499
0.071,0.57943,1.0469,0.39801,1.9015,-0.011528,-2.964,0.84441,0.83661
0.072,0.58134,1.0468,0.39504,1.9166,-0.011878,-2.9863,0.83139,0.82335
0.073,0.58326,1.0468,0.39204,1.9315,-0.012242,-3.0083,0.81808,0.80981
0.074,0.5852,1.0468,0.38902,1.9462,-0.012621,-3.0298,0.80449,0.79598
0.075,0.58715,1.0468,0.38599,1.9606,-0.013014,-3.0509,0.79061,0.78185
0.076,0.58911,1.0468,0.38293,1.9748,-0.013425,-3.0717,0.77777,0.76873
0.077,0.5911,1.0468,0.37985,1.9888,-0.013854,-3.0921,0.76491,0.75558
0.078,0.59309,1.0468,0.37675,2.0026,-0.014302,-3.1121,0.75179,0.74218
0.079,0.5951,1.0468,0.37362,2.0161,-0.014769,-3.1318,0.73843,0.72853
0.08,0.59713,1.0467,0.37048,2.0294,-0.015258,-3.1512,0.72482,0.71462
0.081,0.59916,1.0467,0.36732,2.0425,-0.015768,-3.1702,0.71263,0.70208
0.082,0.60121,1.0467,0.36414,2.0554,-0.016302,-3.1889,0.70067,0.68974
0.083,0.60327,1.0467,0.36094,2.0681,-0.016862,-3.2072,0.68861,0.67729
0.084,0.60535,1.0467,0.35772,2.0806,-0.017447,-3.2252,0.67647,0.66475
0.085,0.60744,1.0467,0.35449,2.0928,-0.018061,-3.2429,0.66423,0.65209
0.086,0.60954,1.0466,0.35123,2.1049,-0.018702,-3.2603,0.65189,0.63934
0.087,0.61165,1.0466,0.34796,2.1168,-0.019378,-3.2773,0.63947,0.62647
0.088,0.61377,1.0466,0.34467,2.1284,-0.020086,-3.294,0.62695,0.61351
0.089,0.61591,1.0466,0.34137,2.1399,-0.02083,-3.3104,0.61434,0.60044
0.09,0.61805,1.0466,0.33806,2.1511,-0.021611,-3.3265,0.60164,0.58726
0.091,0.62021,1.0465,0.33472,2.1621,-0.022432,-3.3422,0.59024,0.5753
0.092,0.62237,1.0465,0.33137,2.173,-0.023295,-3.3576,0.57899,0.56344
0.093,0.62455,1.0465,0.32801,2.1836,-0.024203,-3.3726,0.56755,0.55138
0.094,0.62674,1.0465,0.32463,2.194,-0.025158,-3.3873,0.55592,0.53912
0.095,0.62894,1.0464,0.32123,2.2042,-0.026162,-3.4017,0.5441,0.52666
0.096,0.63115,1.0464,0.31783,2.2141,-0.02722,-3.4157,0.5321,0.514
0.097,0.63337,1.0464,0.3144,2.2239,-0.028333,-3.4293,0.5206,0.50177
0.098,0.63559,1.0464,0.31097,2.2334,-0.029498,-3.4426,0.50937,0.48976
0.099,0.63783,1.0463,0.30752,2.2427,-0.030736,-3.4556,0.49782,0.47743
0.1,0.64008,1.0463,0.30406,2.2518,-0.032042,-3.4682,0.48596,0.46478
0.101,0.64234,1.0463,0.30059,2.2607,-0.033421,-3.4804,0.47486,0.45277
0.102,0.6446,1.0462,0.2971,2.2694,-0.034878,-3.4923,0.46392,0.44085
0.103,0.64687,1.0462,0.2936,2.2779,-0.036419,-3.5039,0.45287,0.4288
0.104,0.64916,1.0462,0.29009,2.2861,-0.038048,-3.5151,0.44172,0.4166
0.105,0.65145,1.0461,0.28657,2.2941,-0.039771,-3.526,0.43046,0.40427
0.106,0.65375,1.0461,0.28304,2.302,-0.041595,-3.5365,0.41909,0.3918
0.107,0.65605,1.046,0.2795,2.3096,-0.043527,-3.5467,0.40761,0.37919
